"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20935","Runs Cucumber Scenarios","Default suite","2026-05-07","broken","2026-05-07","com.runner.TestNGRunner","Default test","com.runner.TestNGRunner","runScenario"
"","4","setUpClass","Default suite","2026-05-07","broken","2026-05-07","com.runner.CucumberTestNGRunner","Default test","com.runner.CucumberTestNGRunner","setUpClass"
